alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,
1,0.0034,0.914130648,0.894347472,0.809942602,9.10E-04,0.000966192,0.002986438,
1,0.0035,0.913967262,0.894245195,0.809598214,8.98E-04,0.001000686,0.0029073,
1,0.0036,0.913802057,0.894245194,0.809292092,8.88E-04,9.71E-04,0.002949626,
1,0.0037,0.913646679,0.89418269,0.80908801,8.77E-04,9.46E-04,0.002976257,
1,0.002,0.913055695,0.894495212,0.808845663,6.49E-04,0.002103709,0.002624945,PCA
1,0.0038,0.913485565,0.894182691,0.80877551,8.63E-04,9.27E-04,0.00301583,
1,0.0039,0.913318284,0.894063366,0.80838648,8.50E-04,8.81E-04,0.002923692,
1,0.004,0.913156686,0.894091777,0.80807398,8.36E-04,9.51E-04,0.003045857,
1,0.0041,0.91300323,0.894034955,0.807806122,8.17E-04,9.27E-04,0.003111091,
1,0.0042,0.912845138,0.893938361,0.807531888,7.98E-04,8.86E-04,0.003119415,
1,0.0043,0.912682037,0.893824719,0.807168367,7.79E-04,8.14E-04,0.003111908,
1,0.0044,0.912528477,0.893682666,0.806830357,7.61E-04,7.45E-04,0.003187452,
1,0.003,0.912221641,0.894694085,0.806772959,6.12E-04,0.002144714,0.002864898,PCA
1,0.0045,0.912377445,0.893614483,0.8065625,7.42E-04,6.60E-04,0.003194781,
1,0.0046,0.912222352,0.893529251,0.806218112,7.23E-04,7.22E-04,0.003198725,
1,0.0047,0.912062858,0.893404246,0.805790816,7.05E-04,7.57E-04,0.003253692,
1,0.0048,0.911907516,0.893216739,0.805357143,6.91E-04,8.15E-04,0.003140984,
1,0.0049,0.91175679,0.893125826,0.805095663,6.76E-04,8.09E-04,0.003109293,
1,0.005,0.911601219,0.893046276,0.804821429,6.60E-04,8.14E-04,0.00315692,
1,0.004,0.911199016,0.894432714,0.804579082,5.77E-04,0.002164005,0.003323035,PCA
1,0.0051,0.911441219,0.893012184,0.804502551,6.43E-04,8.27E-04,0.003195099,
1,0.0052,0.911280599,0.893029231,0.804266582,6.32E-04,8.56E-04,0.00323149,
1,0.0053,0.911132685,0.892887178,0.803877551,6.24E-04,8.00E-04,0.00345608,
1,0.0054,0.910984603,0.892847404,0.803584184,6.19E-04,8.37E-04,0.003428608,
1,0.0055,0.910834476,0.892568981,0.803341837,6.14E-04,7.40E-04,0.003419611,
1,0.0056,0.910680315,0.892353061,0.803054847,6.08E-04,6.22E-04,0.003240759,
1,0.0057,0.910524857,0.892353062,0.802716837,6.08E-04,6.46E-04,0.00334665,
1,0.005,0.910024121,0.894205431,0.802557398,5.13E-04,0.002225765,0.003865488,PCA
1,0.0058,0.910383705,0.892284876,0.802353316,6.07E-04,6.66E-04,0.003377574,
1,0.0059,0.910245714,0.89218828,0.802072704,6.06E-04,6.55E-04,0.003391814,
1,0.006,0.910105208,0.892114413,0.801772959,6.04E-04,6.12E-04,0.003408755,
1,0.0061,0.909961315,0.892074638,0.801492347,6.02E-04,5.26E-04,0.003599109,
1,0.0062,0.909814691,0.892034863,0.801007653,6.00E-04,4.59E-04,0.003505522,
1,0.0063,0.909670376,0.891926903,0.800714286,6.01E-04,4.51E-04,0.003430017,
1,0.006,0.908758754,0.893813363,0.800452806,4.28E-04,0.002131515,0.004315899,PCA
1,0.0064,0.909535979,0.891745079,0.800325255,5.97E-04,4.82E-04,0.003450986,
1,0.0065,0.909400997,0.89174508,0.799917092,5.93E-04,5.50E-04,0.003458359,
1,0.0066,0.909262674,0.891688259,0.799604592,5.88E-04,5.38E-04,0.003496954,
1,0.0067,0.909121539,0.891534842,0.799253827,5.85E-04,4.44E-04,0.003432165,
1,0.0068,0.908977684,0.891239378,0.798871173,5.80E-04,4.88E-04,0.003500732,
1,0.007,0.907510136,0.893551987,0.798482143,4.20E-04,0.002329534,0.004126638,PCA
1,0.0069,0.908834449,0.891125737,0.7984375,5.77E-04,4.74E-04,0.003598586,
1,0.007,0.908703988,0.891057552,0.798080357,5.67E-04,4.51E-04,0.003556836,
1,0.0071,0.908575598,0.890909818,0.79783801,5.54E-04,4.36E-04,0.003488424,
1,0.0072,0.908444772,0.890921181,0.797595663,5.41E-04,4.29E-04,0.003521728,
1,0.0073,0.908311499,0.890864361,0.79716199,5.27E-04,3.91E-04,0.003570788,
1,0.0074,0.908175579,0.890824585,0.796772959,5.12E-04,4.12E-04,0.003605813,
1,0.008,0.906283923,0.893478118,0.796517857,4.88E-04,0.002165378,0.004582937,PCA
1,0.0075,0.908038624,0.890483657,0.79651148,5.01E-04,4.80E-04,0.00383009,
1,0.0076,0.907908712,0.890387062,0.796211735,4.93E-04,4.37E-04,0.003817445,
1,0.0077,0.907796252,0.890398425,0.795899235,4.82E-04,4.71E-04,0.003801242,
1,0.0078,0.90768427,0.890301829,0.795535714,4.70E-04,5.13E-04,0.003906217,
1,0.0079,0.907570119,0.889989311,0.795318878,4.57E-04,6.57E-04,0.003911966,
1,0.008,0.90745438,0.889966583,0.79502551,4.45E-04,6.89E-04,0.003930869,
1,0.0081,0.907335798,0.889955219,0.7946875,4.32E-04,6.47E-04,0.003959645,
1,0.0082,0.907215113,0.889727938,0.794457908,4.19E-04,6.22E-04,0.004071306,
1,0.009,0.905053738,0.893267883,0.794406888,5.24E-04,0.002286318,0.004785745,PCA
1,0.0083,0.907096159,0.889642707,0.794164541,4.11E-04,7.17E-04,0.004142955,
1,0.0084,0.906987473,0.889494976,0.793890306,3.98E-04,8.09E-04,0.004301929,
1,0.0085,0.906883832,0.889409744,0.793635204,3.83E-04,8.30E-04,0.00438944,
1,0.0086,0.906777016,0.88936997,0.793341837,3.68E-04,8.51E-04,0.004421396,
1,0.0087,0.906669334,0.889341559,0.793016582,3.55E-04,8.76E-04,0.004451113,
1,0.0088,0.906559919,0.889301785,0.792793367,3.40E-04,8.99E-04,0.004410493,
1,0.01,0.903851276,0.893176971,0.792538265,5.48E-04,0.002598675,0.005200784,PCA
1,0.0089,0.906448737,0.889307467,0.792455357,3.27E-04,8.93E-04,0.004511616,
1,0.009,0.906335793,0.889210871,0.79213648,3.13E-04,9.02E-04,0.004575232,
1,0.0091,0.906229547,0.889154051,0.791830357,3.11E-04,9.12E-04,0.004582937,
1,0.0092,0.906128221,0.889091548,0.791498724,3.12E-04,9.17E-04,0.00475195,
1,0.0093,0.906031697,0.889091548,0.791186224,3.10E-04,9.71E-04,0.004690514,
1,0.0094,0.905933396,0.889080184,0.790924745,3.08E-04,9.54E-04,0.004747882,
1,0.0095,0.905834446,0.889068819,0.790644133,3.09E-04,9.91E-04,0.004788188,
1,0.0096,0.905734315,0.889023363,0.790414541,3.09E-04,9.87E-04,0.004787233,
1,0.0097,0.905632033,0.888966542,0.790095663,3.09E-04,0.001031755,0.004706151,
1,0.0098,0.90552807,0.888938131,0.789757653,3.09E-04,0.001084844,0.004726944,
1,0.0099,0.905423282,0.888608567,0.789413265,3.10E-04,0.001419587,0.004746404,
1,0.01,0.905320655,0.888529019,0.789151786,3.18E-04,0.00137133,0.004648312,
1,1e-4,0.9191364231063038,0.8936087967311122,0.8206313775510204,6.642843958380024e-4,0.002173072583618836,0.002831374091890681
1,1.1e-4,0.9191415460770107,0.8936201611746026,0.8206186224489795,6.62992414697463e-4,0.002095833837178978,0.0028054520013079736
1,1.2e-4,0.9191488204652377,0.8936258431542043,0.820625,6.62443715893987e-4,0.002083654096648319,0.0028476140243663913
1,1.3000000000000002e-4,0.9191555134100554,0.8936372071134078,0.8205803571428572,6.611809612768817e-4,0.002091783754068915,0.0027849897086937767
1,1.4000000000000001e-4,0.9191624478995762,0.8936315251338061,0.8205229591836735,6.587886736414669e-4,0.002025076401099326,0.0028076258437955233
1,1.5000000000000001e-4,0.9191692011889501,0.8937167559578348,0.8205165816326531,6.576399324240357e-4,0.0019819908172059746,0.0027843506920449367
1,1.6e-4,0.9191755013186046,0.8938190333663848,0.8205803571428572,6.570945901864136e-4,0.0019826601058310434,0.0027847158623712405
1,1.7e-4,0.9191806644914655,0.8937849408430585,0.8205803571428572,6.563946173242456e-4,0.0020359905405710425,0.002752857173116088
1,1.8e-4,0.9191862277390661,0.8938531258897111,0.8205229591836735,6.550297364223675e-4,0.0020636259274143514,0.002761984005635543
1,1.9e-4,0.9191904237272054,0.8938588070621676,0.8204591836734694,6.547117455315952e-4,0.0021222647807860773,0.002739620292560127
1,2e-4,0.9191934535762871,0.8939213104520767,0.8204017857142857,6.552516072794723e-4,0.002125878847472843,0.0027348653580964335
1,0.01,0.9053206548603578,0.8885290194726548,0.7891517857142857,3.1758084369964235e-4,0.0013713304221089615,0.0046483116507635164
1,0.02,0.8954162306979878,0.8886597041963485,0.762436224489796,0.0010735548610075313,0.002560921281440798,0.006084631556269583
1,0.03,0.8861854678050153,0.8927792139877959,0.7422385204081633,0.0017724846416459067,0.0023914892230175364,0.004687749455392049
1,0.04,0.8814728269053538,0.8952225117080896,0.7298915816326531,0.0012519885589378356,0.001966906995106821,0.003991997992020358
1,0.05,0.8778963572994113,0.8966146201177163,0.7249489795918367,7.223671726491e-4,0.0014613067534689657,0.0027312564957839916
1,0.060000000000000005,0.8771004828918016,0.8981260538118466,0.7215051020408163,5.98018331954563e-4,0.0014085131268617055,0.002565884628444721
1,0.06999999999999999,0.876759675942638,0.9002966126369618,0.717984693877551,5.295067581886634e-4,0.0018124451246000453,0.0036373712435580556
1,0.08,0.8766848321485934,0.9021035070103736,0.7150956632653062,5.737266239030021e-4,0.001703092671900271,0.003618986268065205
1,0.09,0.8766861493895476,0.9044388390467827,0.7091390306122449,0.00057320724955155005,0.0012944865238416683,0.004210548344795329
1,0.09999999999999999,0.8766896979973274,0.9056150281958188,0.7047895408163265,5.734880925420236e-4,9.913761002541168e-4,0.002841984433563388
1,0.11,0.8766973546833475,0.9062911947455956,0.7027933673469388,5.769995218461697e-4,7.470364548380265e-4,0.00186871495382927
1,0.12,0.8767007833324405,0.90666052810114806,0.7022576530612245,5.768674576587823e-4,5.883499394055599e-4,0.001625712687723051
1,0.13,0.8767008496482447,0.9066832563424129,0.7022193877551021,5.768088090815894e-4,5.928045896608923e-4,0.001604812855872599
1,0.14,0.8767008496482447,0.9066946204630453,0.7022193877551021,5.768088090815894e-4,5.893285222979131e-4,0.001604812855872599
1,0.15000000000000002,0.8620994511167882,0.9067003026040761,0.7022193877551021,0.03273175072906143,5.819418990493736e-4,0.001604812855872599
1,0.16,0.8620994511167882,0.9067003026040761,0.7022193877551021,0.03273175072906143,5.819418990493736e-4,0.001604812855872599
1,0.17,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.18000000000000002,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.19,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.2,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.21000000000000002,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.22,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.23,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.24000000000000002,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.25,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.26,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.27,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.28,0.804459845179589,0.9067003026040761,0.7022193877551021,6.73547805603648e-4,5.819418990493736e-4,0.001604812855872599
1,0.29000000000000004,0.804459845179589,0.9627308369793738,0.28035714285714286,6.73547805603648e-4,0.051035086850067884,0.3838958877369014
1,0.3,0.804459845179589,1,0,6.73547805603648e-4,0,0
1,0.31,0.7433814337161372,1,0,0.13605502677170903,0,0
1,0.32,0.5,1,0,0,0,0
1,0.33,0.5,1,0,0,0,0
1,0.34,0.5,1,0,0,0,0
1,0.35000000000000003,0.5,1,0,0,0,0
1,0.36000000000000004,0.5,1,0,0,0,0
1,0.37,0.5,1,0,0,0,0
1,0.38,0.5,1,0,0,0,0
1,0.39,0.5,1,0,0,0,0
1,0.4,0.5,1,0,0,0,0
1,0.41000000000000003,0.5,1,0,0,0,0
1,0.42000000000000004,0.5,1,0,0,0,0
1,0.43,0.5,1,0,0,0,0
1,0.44,0.5,1,0,0,0,0
1,0.45,0.5,1,0,0,0,0
1,0.46,0.5,1,0,0,0,0
1,0.47000000000000003,0.5,1,0,0,0,0
1,0.48000000000000004,0.5,1,0,0,0,0
1,0.49,0.5,1,0,0,0,0
1,0.5,0.5,1,0,0,0,0
1,0.51,0.5,1,0,0,0,0
1,0.52,0.5,1,0,0,0,0
1,0.53,0.5,1,0,0,0,0
1,0.54,0.5,1,0,0,0,0
1,0.55,0.5,1,0,0,0,0
1,0.56,0.5,1,0,0,0,0
1,0.5700000000000001,0.5,1,0,0,0,0
1,0.5800000000000001,0.5,1,0,0,0,0
1,0.59,0.5,1,0,0,0,0
1,0.6,0.5,1,0,0,0,0
1,0.61,0.5,1,0,0,0,0
1,0.62,0.5,1,0,0,0,0
1,0.63,0.5,1,0,0,0,0
1,0.64,0.5,1,0,0,0,0
1,0.65,0.5,1,0,0,0,0
1,0.66,0.5,1,0,0,0,0
1,0.67,0.5,1,0,0,0,0
1,0.68,0.5,1,0,0,0,0
1,0.6900000000000001,0.5,1,0,0,0,0
1,0.7000000000000001,0.5,1,0,0,0,0
1,0.7100000000000001,0.5,1,0,0,0,0
1,0.72,0.5,1,0,0,0,0
1,0.73,0.5,1,0,0,0,0
1,0.74,0.5,1,0,0,0,0
1,0.75,0.5,1,0,0,0,0
1,0.76,0.5,1,0,0,0,0
1,0.77,0.5,1,0,0,0,0
1,0.78,0.5,1,0,0,0,0
1,0.79,0.5,1,0,0,0,0
1,0.8,0.5,1,0,0,0,0
1,0.81,0.5,1,0,0,0,0
1,0.8200000000000001,0.5,1,0,0,0,0
1,0.8300000000000001,0.5,1,0,0,0,0
1,0.8400000000000001,0.5,1,0,0,0,0
1,0.85,0.5,1,0,0,0,0
1,0.86,0.5,1,0,0,0,0
1,0.87,0.5,1,0,0,0,0
1,0.88,0.5,1,0,0,0,0
1,0.89,0.5,1,0,0,0,0
1,0.9,0.5,1,0,0,0,0
1,0.91,0.5,1,0,0,0,0
1,0.92,0.5,1,0,0,0,0
1,0.93,0.5,1,0,0,0,0
1,0.9400000000000001,0.5,1,0,0,0,0
1,0.9500000000000001,0.5,1,0,0,0,0
1,0.9600000000000001,0.5,1,0,0,0,0
1,0.97,0.5,1,0,0,0,0
1,0.98,0.5,1,0,0,0,0
1,0.99,0.5,1,0,0,0,0
1,1,0.5,1,0,0,0,0
